iter	Passed	Remaining
0	1	111
1	2	104
2	3	99
3	3	95
4	4	79
5	5	86
6	6	86
7	7	85
8	8	84
9	9	83
10	10	82
11	11	82
12	12	81
13	13	80
14	14	79
15	15	79
16	15	77
17	16	77
18	17	73
19	18	73
20	19	72
21	20	72
22	21	72
23	22	72
24	23	71
25	24	70
26	24	67
27	26	67
28	27	66
29	28	65
30	28	63
31	29	63
32	30	62
33	31	61
34	32	60
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	39	56
41	40	55
42	41	54
43	42	53
44	43	53
45	44	52
46	45	51
47	46	50
48	48	50
49	49	49
50	50	48
51	51	47
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	62	39
61	63	38
62	64	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	101	1
99	102	0
